id,Campus,Building,BuildingName,Building Long Name,Address,Latitude,Longitude,Latitude_Longitude_Points,color,strokeColor
58,SGW,RR,RR Building,RR Annex,2040 Mackay Street,45.496796,-73.579259,"[(45.496650,-73.579473),(45.496797,-73.579328),(45.496759,-73.579253),(45.496609,-73.579381),(45.496650,-73.579473)]","rgba(255, 0, 0, 0.35)
",red
59,SGW,S,S Building,S Annex,2145 Mackay Street,45.497423,-73.579851,"[(45.497314,-73.579854),(45.497359,-73.579929),(45.497489,-73.579810),(45.497455,-73.579741),(45.497429,-73.579762),(45.497421,-73.579741),(45.497314,-73.579854)]","rgba(255, 0, 0, 0.35)
",red
60,SGW,SB,SB Building,Samuel Bronfman Building,1590 Doctor Penfield,45.4966,-73.58609,"[(45.496451,-73.586259),(45.496526,-73.586275),(45.496534,-73.586194),(45.496534,-73.586194),(45.496706,-73.586153),(45.496579,-73.585829),(45.496549,-73.585851),(45.496564,-73.585904),(45.496545,-73.585921),(45.496515,-73.585851),(45.496492,-73.585861),(45.496451,-73.586259)]","rgba(255, 0, 0, 0.35)
",red
62,LOY,SH,SH Building,Solar House,7141 Sherbrooke W,45.459298,-73.642478,"[(45.45923617458589, -73.64242376670204),(45.45931801306554, -73.6424251078066),(45.45931660205828, -73.6426235912799),(45.45923335256723, -73.64262292072762)]","rgba(255, 0, 0, 0.35)",red
63,LOY,SP,SP Building,Richard J. Renaud Science Complex,7141 Sherbrooke W,45.457881,-73.641565,"[(45.45744070787629, -73.64200252269364),(45.4572097255844, -73.64141610308948),(45.457184901882776, -73.64143239442687),(45.45716890986008, -73.6413921612904),(45.457178787286395, -73.64138344411083),(45.457178787286324, -73.64138277356162),(45.45714821429452, -73.64130431894549),(45.45715856207821, -73.64129560176592),(45.457041163729684, -73.64099371890339),(45.45701858669762, -73.64101316491936),(45.456996480011604, -73.64095817963283),(45.457024701311354, -73.64093471030323),(45.45698472113254, -73.64083010414838),(45.457202024824745, -73.64065509000903),(45.45724576767389, -73.64076841334344),(45.457250000851026, -73.64076506058207),(45.457524780538044, -73.64147201539116),(45.45790709825135, -73.64116992886379),(45.45789392851929, -73.64113170738413),(45.45797906137564, -73.64106465215666),(45.4579978752492, -73.64111494357726),(45.458315828769166, -73.64086214537497),(45.45833934596969, -73.64092249507969),(45.45819353916789, -73.64103850061842),(45.458256095035274, -73.64120010371661),(45.45817989915792, -73.6412624650719),(45.45820953090039, -73.64133689637438),(45.458277260539006, -73.64128325219242),(45.458327117026926, -73.6414133393329),(45.45767380395141, -73.64192623629158),(45.45764087947935, -73.6418464405709)]","rgba(218, 58, 22, 0.35)",orange
64,SGW,T,T Building,T Annex,2030 Mackay Street,45.49671,-73.57927,"[(45.496653,-73.579338),(45.496750,-73.579258),(45.496713,-73.579177),(45.496619,-73.579268),(45.496653,-73.579338)]","rgba(255, 0, 0, 0.35)
",red
65,LOY,TA,TA Building,Terrebonne Building,7079 Terrebonne,45.459992,-73.640897,"[(45.45997925365755, -73.6409755961956),(45.4599402162347, -73.64087367225974),(45.459994304222974, -73.64083209802274),(45.46003240094881, -73.64093402195861)]","rgba(255, 0, 0, 0.35)",red
66,LOY,TB,TB Building,TB Annex,7075 Terrebonne,45.460051,-73.640842,"[(45.46003240094881, -73.64093469251083),(45.45999383389289, -73.64083209802274),(45.46004133721409, -73.640794547099),(45.46007990423753, -73.6408984826915)]","rgba(255, 0, 0, 0.35)",red
67,SGW,TD,TD Building,Toronto-Dominion Building,1410 Guy Street,45.495103,-73.578375,"[(45.495099,-73.578471),(45.495166,-73.578396),(45.495016,-73.578047),(45.494919,-73.578151),(45.495099,-73.578471)]","rgba(255, 0, 0, 0.35)
",red
69,SGW,V,V Building,V Annex,2110 Mackay Street,45.497101,-73.579907,"[(45.496995,-73.579869),(45.497040,-73.579826),(45.497002,-73.579746),(45.497002,-73.579746),(45.496995,-73.579869)]","rgba(255, 0, 0, 0.35)
","red
"
